source_file,record_path,quantity,method,point_estimate,ci_low,ci_high,n_sites,nominal_draws,retained_draws,shortfall,endpoint_touches_0_or_1
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[5],exclude_annotation_coincident[5],bootstrap_auc (protein cluster),0.640625,0.4642857142857143,0.7894736842105263,28,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[6],exclude_annotation_coincident[6],bootstrap_auc (protein cluster),0.48823529411764705,0.2608695652173913,0.665775752884886,37,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[7],exclude_annotation_coincident[7],bootstrap_auc (protein cluster),0.4357894736842105,0.20833027859237538,0.6330077250335868,44,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[8],exclude_annotation_coincident[8],bootstrap_auc (protein cluster),0.52,0.32142857142857145,0.6789781495510662,55,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[9],exclude_annotation_coincident[9],bootstrap_auc (protein cluster),0.41626794258373206,0.19166666666666668,0.6166666666666667,41,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/exclude_annotation_coincident[10],exclude_annotation_coincident[10],bootstrap_auc (protein cluster),0.6833333333333333,0.4807692307692308,0.8640098765432097,27,20000,19999,1,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[0],include_annotation_coincident[0],bootstrap_auc (protein cluster),0.5441347270615563,0.43575552928798883,0.6487455197132617,166,200000,200000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[1],include_annotation_coincident[1],bootstrap_auc (protein cluster),0.5223429951690821,0.38008474431551353,0.6649435446418205,82,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[2],include_annotation_coincident[2],bootstrap_auc (protein cluster),0.5070993914807302,0.35064935064935066,0.6630002923976608,63,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[3],include_annotation_coincident[3],bootstrap_auc (protein cluster),0.5,0.33653513824884795,0.6578947368421053,61,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[4],include_annotation_coincident[4],bootstrap_auc (protein cluster),0.6215384615384615,0.43478260869565216,0.790914141414141,38,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[5],include_annotation_coincident[5],bootstrap_auc (protein cluster),0.6973684210526315,0.5357142857142857,0.8421052631578947,31,20000,19997,3,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[6],include_annotation_coincident[6],bootstrap_auc (protein cluster),0.5549872122762148,0.33222419028340083,0.7296296296296296,40,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[7],include_annotation_coincident[7],bootstrap_auc (protein cluster),0.49624060150375937,0.2769598416289593,0.692310167310167,47,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[8],include_annotation_coincident[8],bootstrap_auc (protein cluster),0.5636363636363636,0.37666043083900225,0.7142857142857143,58,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[9],include_annotation_coincident[9],bootstrap_auc (protein cluster),0.4863157894736842,0.2708333333333333,0.6837967121810994,44,20000,20000,0,
robustness/results/robustness_statistics.json,/confidence_strata/include_annotation_coincident[10],include_annotation_coincident[10],bootstrap_auc (protein cluster),0.7361111111111112,0.553030303030303,0.9027777777777778,30,20000,19999,1,
robustness/results/robustness_statistics.json,/feature_definition_sensitivity[0],feature_definition_sensitivity[0],bootstrap_auc (protein cluster),0.570230607966457,0.45279545454545456,0.6772504177109439,107,20000,20000,0,
robustness/results/robustness_statistics.json,/feature_definition_sensitivity[1],feature_definition_sensitivity[1],bootstrap_auc (protein cluster),0.5251415251415251,0.4147021593447506,0.6315623270367294,155,20000,20000,0,
robustness/results/robustness_statistics.json,/feature_definition_sensitivity[2],feature_definition_sensitivity[2],bootstrap_auc (protein cluster),0.5268233875828813,0.41674431974078835,0.6315393408472534,163,200000,200000,0,
robustness/results/robustness_statistics.json,/feature_definition_sensitivity[3],feature_definition_sensitivity[3],bootstrap_auc (protein cluster),0.5260699216395419,0.41446464815044287,0.6330457621205234,163,20000,20000,0,
robustness/results/robustness_statistics.json,/feature_definition_sensitivity[4],feature_definition_sensitivity[4],bootstrap_auc (protein cluster),0.5250150693188668,0.4138662397617275,0.6303594855908099,163,20000,20000,0,
robustness/results/robustness_statistics.json,/cohort_sensitivity[0],cohort_sensitivity[0],bootstrap_auc (protein cluster),0.5268233875828813,0.41674431974078835,0.6315393408472534,163,200000,200000,0,
