path,bytes,sha256,source,source_url,source_version,license,license_url,transformation
robustness/data/pae/P08018_v6_pae.json.gz,144864,229959b9a795dc32d0aa1a18fb94ac570b6d42240699e60fc458cafc367a2b54,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P08018-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P11792_metadata.json,3357,83e3c43292442c90cc9c2a3b755239c510c6dad78ab7e6010e504a095688486c,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P11792,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P11792_v6_pae.json.gz,234889,96595508b0ffc96753d28f6e11b8ff8490741e1ab919065860b1dbb347220f17,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P11792-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P11986_metadata.json,2768,c614592cc949dd346b1e2adadb6e32a44674e0528d37477cbe113590ce6799c3,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P11986,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P11986_v6_pae.json.gz,62785,93536d16c7e7cbdca906cbb4cdb992da2cd1d83327e1665c15d7feb482539261,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P11986-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P12683_metadata.json,3832,05330f0f7eb82addd686adc8ad323ab1d3a2b1a38144294a09ce64abf7a19d56,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P12683,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P12683_v6_pae.json.gz,386155,d3721024eb5c1109bc1a76fe8321acb195898b4e7396fd70190818552eaa5cd7,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P12683-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P12684_metadata.json,3815,b3ca9ba5bda4bcea8e1def4cb707f508b467f98bee550fbe541019a0a59fdc29,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P12684,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P12684_v6_pae.json.gz,379957,cc1ece6995efd542dbd01f1bff918cac32bcb57353889cdd2561f379a04a8d7a,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P12684-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P12688_metadata.json,3069,7c8ecd477fa336e6ae6c3d29ee393fedcd6b4fc55097089101394354d0f2971c,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P12688,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P12688_v6_pae.json.gz,177912,871b634224e4e90ddbd246b1c66cb5ad684c920a4d5f642af879591e4fbca121,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P12688-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P12904_metadata.json,2362,db0108ac854ccb4597f2c30b234036e1652674ecaa586ca4d608fe7b1aefc066,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P12904,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
